trader_group,country_of_destination,cocoa_deforestation_15_years_total_exposure,cocoa_net_emissions_15_years_total
OLAM,UNITED ARAB EMIRATES,1.781047584,66.18048843
OLAM,RUSSIAN FEDERATION,0.07671778,3.114247031
OLAM,EGYPT,0.440026372,15.15321291
OLAM,UNITED STATES,0.941680071,28.33603239
OLAM,UNITED ARAB EMIRATES,0.407978617,21.27391655
OLAM,CHILE,1.282389597,146.7296001
BARRY CALLEBAUT,COTE D'IVOIRE,0.226955273,6.829296032
OLAM,RUSSIAN FEDERATION,0.035074459,1.036861822
BARRY CALLEBAUT,FRANCE,0.729627854,38.91380073
CEMOI,INDONESIA,0.324084286,19.6831174
BARRY CALLEBAUT,TAIWAN,0.28754635,56.58869387
ETC GROUP,UNKNOWN COUNTRY,0.033069374,1.753239039
OLAM,NETHERLANDS,1.558536591,116.9236062
BARRY CALLEBAUT,GERMANY,0.222812307,13.11341533
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.242812621,12.66138767
OLAM,NETHERLANDS,0.380848714,69.66155476
BARRY CALLEBAUT,BRAZIL,0.744615099,45.22387239
BARRY CALLEBAUT,ITALY,0.375629463,11.30304119
ECOM,MALAYSIA,0.296366228,6.776227283
BARRY CALLEBAUT,CANADA,0.469536829,14.12880149
CARGILL,NETHERLANDS,0.672344419,27.2928466
OLAM,RUSSIAN FEDERATION,0.109752922,3.302567877
BARRY CALLEBAUT,SENEGAL,1.316796888,240.8571043
STE COOP MENIANSOU SAN P,COTE D'IVOIRE,0.046832219,4.290790248
ECOM,SPAIN,1.877443169,369.478022
BARRY CALLEBAUT,BELGIUM,0.123739345,7.515255024
ECOM,MALAYSIA,0.694579265,37.04452749
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.040777663,2.161909384
BARRY CALLEBAUT,UNITED STATES,2.27558508,118.6596675
OLAM,COTE D'IVOIRE,0.738948061,38.53221401
BARRY CALLEBAUT,UNITED STATES,0.335714336,9.924297833
OLAM,SAUDI ARABIA,0.87645213,23.90617752
BARRY CALLEBAUT,TAIWAN,0.145649356,13.22786443
OLAM,NETHERLANDS,0.625160728,22.31179775
OLAM,NETHERLANDS,1.911221656,121.8615651
BARRY CALLEBAUT,GERMANY,0.132424814,4.314003041
CEMOI,INDONESIA,0.601864891,31.38405524
OLAM,ISRAEL,0.801653379,26.34961352
CARGILL,CANADA,0.062747086,2.958992125
OLAM,COTE D'IVOIRE,0.16233751,7.344353084
OLAM,MALAYSIA,0.575487465,30.00861269
ETC GROUP,ESTONIA,1.440830056,43.3559214
BARRY CALLEBAUT,BELGIUM,0.131206551,5.935949353
BARRY CALLEBAUT,BRAZIL,0.209745048,9.489129699
CARGILL,CANADA,0.480962026,16.56291634
BARRY CALLEBAUT,BELGIUM,0.284548829,17.28194866
OLAM,NETHERLANDS,0.061416099,2.77854154
BARRY CALLEBAUT,GERMANY,2.201656222,126.9797195
BARRY CALLEBAUT,GERMANY,0.14708574,5.465438562
BARRY CALLEBAUT,BELGIUM,3.795883416,242.0296425
OLAM,BELGIUM,0.144651497,7.785191989
BARRY CALLEBAUT,ITALY,0.555409543,50.44225634
OLAM,CHILE,0.438387316,17.79569732
ECOM,SPAIN,0.150675071,7.105451082
BARRY CALLEBAUT,INDONESIA,0.895471713,48.19458724
OLAM,PORTUGAL,0.330991834,7.567919964
BARRY CALLEBAUT,FRANCE,0.216199368,11.46224202
CEMOI,UNITED STATES,0.483222897,25.19750582
BARRY CALLEBAUT,COTE D'IVOIRE,0.083907279,3.796070806
BARRY CALLEBAUT,TURKEY,0.702489277,36.63108216
OLAM,BELGIUM,2.863290329,149.3053727
OLAM,NETHERLANDS,0.276165437,16.77278703
OLAM,SYRIA,0.40715312,21.23087126
OLAM,EGYPT,0.730350798,38.08391241
OLAM,UNITED STATES,2.293465987,146.2338781
BARRY CALLEBAUT,COTE D'IVOIRE,0.126494902,6.596036861
OLAM,MALAYSIA,0.596903349,31.12533719
COCOASOURCE,UNKNOWN COUNTRY,1.202709884,73.04605879
TOUTON,GERMANY,0.708489537,35.95272749
BARRY CALLEBAUT,BELGIUM,0.694030221,36.18998738
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.139313183,7.430096581
CARGILL,NETHERLANDS,0.377078545,8.714009797
CARGILL,CANADA,0.494974731,25.81030149
